minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
1,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1521.03,1
1,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2273.37,1
1,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,891.934,1
1,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3052.05,1
1,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,747.226,1
1,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,898.15,1
1,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,1997.18,1
1,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,2855.91,1
1,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,2779.7,1
1,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,11388.5,1
1,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,531.135,1
1,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,3065.77,1
1,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,6855.46,1
1,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,49,0
1,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,860.295,1
2,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1507.44,1
2,./A_set/A_,7,36,9,3,17,0.005,0.0025,50,15,2277.19,1
2,./A_set/A_,12,54,10,0,53,0.005,0.0025,50,15,857.606,1
2,./A_set/A_,10,108,9,40,53,0.005,0.0025,50,15,3028.24,1
2,./A_set/A_,8,18,9,4,17,0.005,0.0025,50,15,747.505,1
2,./A_set/A_,3,91,10,12,90,0.005,0.0025,50,15,872.307,1
2,./A_set/A_,1,181,9,81,90,0.005,0.0025,50,15,35537.5,1
2,./A_set/A_,14,108,10,22,53,0.005,0.0025,50,15,12576.8,1
2,./A_set/A_,13,179,9,136,90,0.005,0.0025,50,15,8325.95,1
2,./A_set/A_,11,54,9,4,53,0.005,0.0025,50,15,517.138,1
2,./A_set/A_,6,180,10,87,182,0.005,0.0025,50,15,888.802,1
2,./A_set/A_,15,108,10,22,53,0.005,0.0025,50,15,2908.83,1
2,./A_set/A_,2,89,9,32,90,0.005,0.0025,50,15,234119,1
2,./A_set/A_,5,180,9,87,182,0.005,0.0025,50,15,12117.6,1
2,./A_set/A_,4,706,9,1377,365,0.005,0.0025,50,15,22,0
3,./A_set/A_,9,18,10,0,17,0.005,0.0025,50,15,1507.49,1
