minute,base_path,instance,intervention_size,resources_size,exclusion_size,scenarious_size,population_size,mutation_rate,crossover_rate,time_limit,error,is_solved
1,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
1,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
1,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
1,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3012.78,1
1,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
1,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,862.101,1
1,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1963.02,1
1,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2583.99,1
1,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,5521.34,1
1,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,770.574,1
1,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.679,1
1,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2579.12,1
1,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4724.72,1
1,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,57,0
1,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,843.589,1
2,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
2,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
2,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
2,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
2,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
2,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,851.364,1
2,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1940.52,1
2,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2546.23,1
2,./A_set/A_,13,179,9,136,90,0.0025,-1,-1,15,4841.57,1
2,./A_set/A_,11,54,9,4,53,0.0025,-1,-1,15,500.55,1
2,./A_set/A_,6,180,10,87,182,0.0025,-1,-1,15,730.945,1
2,./A_set/A_,15,108,10,22,53,0.0025,-1,-1,15,2555.42,1
2,./A_set/A_,2,89,9,32,90,0.0025,-1,-1,15,4718.44,1
2,./A_set/A_,5,180,9,87,182,0.0025,-1,-1,15,768.874,1
2,./A_set/A_,4,706,9,1377,365,0.0025,-1,-1,15,34,0
3,./A_set/A_,9,18,10,0,17,0.0025,-1,-1,15,1507.28,1
3,./A_set/A_,7,36,9,3,17,0.0025,-1,-1,15,2277.19,1
3,./A_set/A_,12,54,10,0,53,0.0025,-1,-1,15,797.107,1
3,./A_set/A_,10,108,9,40,53,0.0025,-1,-1,15,3000.63,1
3,./A_set/A_,8,18,9,4,17,0.0025,-1,-1,15,747.406,1
3,./A_set/A_,3,91,10,12,90,0.0025,-1,-1,15,850.184,1
3,./A_set/A_,1,181,9,81,90,0.0025,-1,-1,15,1912.91,1
3,./A_set/A_,14,108,10,22,53,0.0025,-1,-1,15,2544,1
